Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2/24/2025,7:31:52,CNR4273768204,Success,CUST239875,Mini,Vijayanagar,Kaggadasapura,6.19,3.21,0,,0,,0,,333,25.7,4.5,3.7
2/12/2025,21:48:15,CNR9900249582,Cancelled by Driver,CUST191466,Auto,Jakkur,Lavelle Road,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/19/2025,16:00:12,CNR8576429710,Success,CUST674744,Mini,Marathahalli,Bellandur,8.64,6.22,0,,0,,0,,546,9.1,4.4,4.5
2/13/2025,9:30:23,CNR8455410066,Incomplete,CUST587303,Bike,Basaveshwaranagar,Indiranagar,0,0,0,,0,,1,Other Issue,0,0,0,0
2/12/2025,1:11:40,CNR6231745409,Cancelled by Driver,CUST229011,Prime Sedan,HSR Layout,Ulsoor,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/23/2025,16:26:05,CNR1042981286,Cancelled by Driver,CUST825229,Bike,Vasanth Nagar,Basavanagudi,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/6/2025,18:45:29,CNR6922966135,Cancelled by Customer,CUST920803,Prime SUV,Basavanagudi,Banaswadi,0,0,1,AC is not working,0,,0,,0,0,0,0
2/15/2025,15:43:27,CNR8625635057,Success,CUST907878,Auto,Vijayanagar,Bommanahalli,7.55,12.9,0,,0,,0,,148,6.85,4,3.9
2/6/2025,2:21:32,CNR9215097705,Success,CUST759347,Mini,Kengeri,Girinagar,7.02,9.4,0,,0,,0,,424,3.79,3.8,4.3
2/8/2025,23:12:57,CNR4110352109,Cancelled by Driver,CUST412277,Bike,Domlur,Vasanth Nagar,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/17/2025,22:00:24,CNR9339759518,Cancelled by Customer,CUST890734,eBike,Yelahanka,Kadubeesanahalli,0,0,1,Driver asked to cancel,0,,0,,0,0,0,0
2/16/2025,15:04:19,CNR1606208724,Success,CUST973876,Auto,Rajajinagar,KR Puram,9.74,5.54,0,,0,,0,,362,25.63,3.6,3.5
2/3/2025,7:32:40,CNR7266402911,Success,CUST936343,Prime Sedan,Rajajinagar,Hebbal,9.26,6.22,0,,0,,0,,675,19.01,3.5,4.7
2/24/2025,11:59:55,CNR8304912949,Success,CUST829958,Prime Sedan,MG Road,Kadubeesanahalli,8.43,10.12,0,,0,,0,,286,8.09,3.9,4.9
2/20/2025,10:43:28,CNR4788993080,Success,CUST646800,eBike,BTM Layout,JP Nagar,9.48,10.54,0,,0,,0,,802,10.54,4.4,4.3
2/2/2025,19:28:46,CNR9254466192,Success,CUST702585,Mini,Bannerghatta Road,Marathahalli,7.58,8.14,0,,0,,0,,423,16.04,4.1,4.6
2/20/2025,1:18:37,CNR2471560653,Cancelled by Customer,CUST835765,Prime Plus,Jakkur,Vasanth Nagar,0,0,1,Change of plans,0,,0,,0,0,0,0
2/11/2025,2:59:44,CNR9230170514,Success,CUST887013,Prime Plus,Kammanahalli,Hulimavu,2.89,11.81,0,,0,,0,,458,2.23,4.8,4.7
2/1/2025,12:53:42,CNR9634921006,Success,CUST791336,eBike,Marathahalli,Nagawara,8.85,3.47,0,,0,,0,,241,12.76,3.6,4.5
2/11/2025,21:23:39,CNR7322476217,Success,CUST265464,Prime Sedan,Cunningham Road,Bommanahalli,7.91,6.2,0,,0,,0,,560,24.15,4.5,4.9
2/16/2025,3:40:16,CNR5563441161,Success,CUST918604,Mini,Vijayanagar,Lavelle Road,9.44,9.24,0,,0,,0,,2048,6.22,4.3,5
2/9/2025,13:02:13,CNR7524463702,Cancelled by Customer,CUST809541,Bike,Sarjapur,Kengeri,0,0,1,Driver asked to cancel,0,,0,,0,0,0,0
2/11/2025,11:04:40,CNR2510470779,Success,CUST373811,Mini,Koramangala,Jakkur,6.52,11.42,0,,0,,0,,393,11.62,4.1,4.1
2/25/2025,11:51:04,CNR6233975892,Success,CUST845035,Prime Sedan,Banashankari,Kadubeesanahalli,8.62,10.38,0,,0,,0,,407,10.83,4.8,4.3
2/17/2025,4:42:50,CNR9705686591,Cancelled by Driver,CUST612685,Prime Plus,Hoodi,Bommasandra,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/13/2025,9:15:45,CNR8166414442,Success,CUST878978,Prime SUV,Marathahalli,RT Nagar,5.58,3.71,0,,0,,0,,954,6.55,4.8,4.5
2/21/2025,17:44:30,CNR3827916240,Success,CUST779085,Auto,Marathahalli,MG Road,7.52,4.2,0,,0,,0,,472,7.18,4.9,4.7
2/3/2025,22:42:36,CNR1985448676,Success,CUST544462,Mini,Hosakerehalli,Banaswadi,7.54,12.06,0,,0,,0,,422,7.76,3.7,3.5
2/23/2025,21:33:51,CNR8302751214,Success,CUST796082,Auto,Whitefield,Kadubeesanahalli,8.26,12.4,0,,0,,0,,452,18.01,4.8,4.3
2/3/2025,12:38:58,CNR2737892751,Success,CUST300427,Auto,Shivajinagar,Bommasandra,2.8,8.55,0,,0,,0,,439,7.25,3.6,4.2
2/8/2025,13:44:22,CNR3704375607,Cancelled by Customer,CUST634358,Auto,Bommanahalli,Sadashivanagar,0,0,1,Driver is not moving towards pickup location,0,,0,,0,0,0,0
2/8/2025,21:15:32,CNR8918504818,Success,CUST345523,Bike,MG Road,Hosakerehalli,4.66,3.02,0,,0,,0,,195,23.02,4.9,3.6
2/25/2025,19:14:11,CNR9367094783,Cancelled by Driver,CUST260968,Prime SUV,Hennur,JP Nagar,0,0,0,,1,Personal & Car related issues,0,,0,0,0,0
2/22/2025,3:31:46,CNR4355452763,Cancelled by Driver,CUST907037,eBike,HSR Layout,Kadubeesanahalli,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/10/2025,14:45:11,CNR8976353133,Cancelled by Driver,CUST832199,Prime SUV,Kammanahalli,Lavelle Road,0,0,0,,1,Personal & Car related issues,0,,0,0,0,0
2/8/2025,11:34:14,CNR3617212421,Success,CUST693253,eBike,Electronic City,Frazer Town,8.01,3.81,0,,0,,0,,477,22.05,3.5,4.4
2/19/2025,4:49:32,CNR8185502531,Success,CUST536490,eBike,Ulsoor,Kengeri,4.17,11.04,0,,0,,0,,325,9.88,4.6,3.7
2/25/2025,2:56:27,CNR5214198712,Success,CUST650686,Mini,Shivajinagar,Majestic,9.73,5.36,0,,0,,0,,156,11.58,3.8,3.6
2/17/2025,14:32:04,CNR9939896254,Success,CUST357929,Bike,Basaveshwaranagar,Jakkur,3.67,4.83,0,,0,,0,,157,12.41,4.2,4.7
2/21/2025,12:38:46,CNR2078134462,Success,CUST783668,Mini,Marathahalli,MG Road,3.67,7.23,0,,0,,0,,191,5.29,3.6,4.8
2/10/2025,17:51:33,CNR6483961980,Success,CUST110061,Prime Sedan,Malleshwaram,HBR Layout,7.84,4.73,0,,0,,0,,245,10.85,4.2,4.6
2/22/2025,6:19:34,CNR4780484859,Success,CUST628847,Auto,Banashankari,Indiranagar,3.02,4.36,0,,0,,0,,538,27.83,4.7,4.3
2/7/2025,14:45:13,CNR9685926817,Success,CUST299499,Mini,Kengeri,HBR Layout,2.52,4.87,0,,0,,0,,858,8.32,4.6,4
2/26/2025,13:30:17,CNR3379963865,Success,CUST970739,Prime Plus,Hulimavu,Cunningham Road,3.11,14.86,0,,0,,0,,245,10.76,4.4,3.6
2/6/2025,3:34:33,CNR8770032042,Cancelled by Driver,CUST392016,Prime Plus,Vasanth Nagar,Nagawara,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/21/2025,11:47:55,CNR2408472465,Success,CUST840432,Prime Sedan,JP Nagar,Hebbal,4.05,3.79,0,,0,,0,,205,16.28,3.7,3.9
2/9/2025,23:11:25,CNR6283246356,Cancelled by Driver,CUST529767,Bike,Hoodi,Vijayanagar,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/18/2025,10:15:29,CNR8370254407,Success,CUST207726,Prime SUV,Electronic City,Bommasandra,7.41,13.18,0,,0,,0,,652,8.51,4,4.7
2/13/2025,1:14:40,CNR8487654231,Cancelled by Driver,CUST536529,Mini,Electronic City,Whitefield,0,0,0,,1,Customer related issue,0,,0,0,0,0
2/16/2025,3:29:11,CNR6408854300,Success,CUST502846,Prime Sedan,Rajajinagar,Kengeri,8.44,5.65,0,,0,,0,,282,10.02,4.5,4.2
2/13/2025,12:15:53,CNR5111793387,Cancelled by Driver,CUST514638,Prime Plus,Girinagar,Nagawara,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/23/2025,16:18:53,CNR1794661904,Success,CUST616854,Auto,Cunningham Road,Bannerghatta Road,4.76,11.67,0,,0,,0,,203,29.31,4.9,3.9
2/21/2025,0:04:05,CNR2737146475,Success,CUST526143,eBike,Bannerghatta Road,Nagawara,3.62,7.01,0,,0,,0,,118,25.04,3.5,4
2/11/2025,1:24:07,CNR2380440840,Success,CUST900160,Auto,Hulimavu,Basavanagudi,3.76,6.54,0,,0,,0,,291,27.21,3.8,4.8
2/24/2025,21:00:21,CNR4813481205,Success,CUST284678,Auto,Hosakerehalli,Lavelle Road,9.08,14.22,0,,0,,0,,430,13.25,3.6,4.4
2/2/2025,13:09:39,CNR6741451489,Success,CUST679418,Auto,Frazer Town,BTM Layout,9.55,11.97,0,,0,,0,,241,29.37,4.1,4.3
2/5/2025,4:02:28,CNR8746843257,Success,CUST553272,Auto,Sahakar Nagar,Vijayanagar,5.83,8.58,0,,0,,0,,420,16.98,4.7,3.6
2/5/2025,8:19:11,CNR6002308182,Success,CUST268681,Prime Plus,Frazer Town,Shivajinagar,7.22,10.44,0,,0,,0,,328,14.92,4.2,3.6
2/4/2025,6:41:44,CNR7303299414,Success,CUST495585,Auto,Shivajinagar,Bommasandra,7.61,8.79,0,,0,,0,,361,4.03,4.5,4.1
2/4/2025,17:57:47,CNR5197335916,Success,CUST183906,Prime Plus,Sahakar Nagar,Hennur,6.82,4.75,0,,0,,0,,293,14.7,3.7,3.8
2/16/2025,19:55:57,CNR4651838304,Success,CUST242489,Bike,Ulsoor,Whitefield,9.58,4.96,0,,0,,0,,285,24.06,4.7,3.5
2/20/2025,1:07:50,CNR2250321643,Success,CUST875313,Prime Plus,BTM Layout,Whitefield,4.88,12.23,0,,0,,0,,918,21.85,3.6,4.4
2/23/2025,15:10:18,CNR9708431340,Cancelled by Driver,CUST603641,Mini,Ulsoor,Rajajinagar,0,0,0,,1,Personal & Car related issues,0,,0,0,0,0
2/18/2025,10:48:04,CNR1755471165,Success,CUST719591,Mini,Kaggadasapura,Richmond Town,2.57,11.33,0,,0,,0,,685,15.22,4.5,4.2
2/5/2025,9:04:22,CNR7702569527,Success,CUST826306,Mini,Lavelle Road,Lavelle Road,2.66,5.43,0,,0,,0,,324,23.29,4.5,4.7
2/22/2025,5:41:31,CNR8778847690,Success,CUST785691,Mini,Basavanagudi,Sadashivanagar,4.49,10.06,0,,0,,0,,370,5.81,4.4,4.2
2/19/2025,7:55:17,CNR8844685041,Incomplete,CUST813379,Mini,Frazer Town,Vasanth Nagar,0,0,0,,0,,1,Vehicle Breakdown,0,0,0,0
2/11/2025,2:03:42,CNR5838729089,Cancelled by Driver,CUST361535,Mini,Bannerghatta Road,Whitefield,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/2/2025,3:08:00,CNR2201013350,Success,CUST421616,Prime Sedan,JP Nagar,Vijayanagar,8.75,10.09,0,,0,,0,,201,24.89,4.8,4.7
2/10/2025,11:27:26,CNR4600092352,Success,CUST932170,Prime SUV,Nagawara,Kaggadasapura,8.86,4.34,0,,0,,0,,107,12.2,4.7,4.5
2/3/2025,8:27:17,CNR7028013599,Success,CUST206338,Mini,Rajajinagar,Basaveshwaranagar,4.79,7.27,0,,0,,0,,917,20.39,4.6,4.5
2/22/2025,3:18:34,CNR1209581739,Success,CUST584734,eBike,Kammanahalli,Bommasandra,2.17,6.58,0,,0,,0,,182,21.72,5,4.6
2/17/2025,23:52:24,CNR4216827212,Cancelled by Driver,CUST160300,Prime Plus,Shivajinagar,Frazer Town,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/26/2025,9:51:45,CNR3961711125,Cancelled by Driver,CUST689294,Prime Sedan,Bommasandra,Sarjapur,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/22/2025,17:56:26,CNR8690415892,Success,CUST503638,eBike,Shivajinagar,Shivajinagar,9.95,14.94,0,,0,,0,,569,12.72,3.7,4.6
2/23/2025,3:06:56,CNR5921246866,Cancelled by Driver,CUST963085,Bike,Hennur,Malleshwaram,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/21/2025,18:41:36,CNR5905248696,Success,CUST802262,Mini,Domlur,HBR Layout,5.44,7.67,0,,0,,0,,256,17.92,3.6,4.9
2/11/2025,4:04:58,CNR2428413607,Success,CUST261598,Mini,Sadashivanagar,Girinagar,2.31,7.65,0,,0,,0,,173,3.41,4.7,4.4
2/27/2025,21:50:50,CNR3613626566,Success,CUST177498,Bike,Majestic,Girinagar,9.19,11.72,0,,0,,0,,396,8.6,3.5,4.1
2/20/2025,23:18:33,CNR8356581735,Success,CUST325040,Prime SUV,Indiranagar,Richmond Town,7.83,6.35,0,,0,,0,,477,24.2,4.8,3.8
2/21/2025,5:21:47,CNR1803185510,Cancelled by Driver,CUST815358,Prime Plus,Hosakerehalli,Vijayanagar,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/2/2025,1:09:45,CNR9876840605,Success,CUST792471,Prime SUV,Girinagar,Hosakerehalli,3.23,12.22,0,,0,,0,,909,27.26,4.4,4.8
2/6/2025,2:40:53,CNR1694194941,Success,CUST201771,Auto,Koramangala,MG Road,4.08,3.32,0,,0,,0,,412,17.37,4,3.9
2/13/2025,14:03:56,CNR7886968399,Cancelled by Driver,CUST596931,Prime SUV,Bommasandra,Vasanth Nagar,0,0,0,,1,Personal & Car related issues,0,,0,0,0,0
2/13/2025,21:09:36,CNR3782793379,Success,CUST126916,Prime Plus,Hulimavu,Bommasandra,7.74,5.44,0,,0,,0,,389,9.28,4.6,5
2/23/2025,21:01:27,CNR8597271329,Success,CUST444406,Prime Plus,HBR Layout,Banashankari,7.64,5.81,0,,0,,0,,655,29.42,4.1,4.7
2/14/2025,2:40:58,CNR3936928738,Success,CUST250634,Bike,Cunningham Road,Hoodi,5.46,7.19,0,,0,,0,,459,21.22,3.7,4.8
2/8/2025,14:35:01,CNR5243008974,Success,CUST535764,Prime SUV,Yelahanka,HSR Layout,7.05,10.19,0,,0,,0,,836,8.52,4.9,4.6
2/25/2025,20:33:18,CNR4657137592,Cancelled by Driver,CUST337616,Prime SUV,Richmond Town,Bannerghatta Road,0,0,0,,1,Personal & Car related issues,0,,0,0,0,0
2/8/2025,19:24:25,CNR4229934107,Cancelled by Customer,CUST751913,eBike,Ulsoor,Bommanahalli,0,0,1,Change of plans,0,,0,,0,0,0,0
2/3/2025,20:13:55,CNR9447189749,Cancelled by Driver,CUST646454,Prime Sedan,Cunningham Road,Electronic City,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/16/2025,3:34:39,CNR7549986819,Success,CUST770873,Bike,Whitefield,KR Puram,3.86,11.82,0,,0,,0,,359,28.79,3.9,3.8
2/2/2025,9:16:03,CNR1094490799,Success,CUST849303,Prime Sedan,Jayanagar,Jayanagar,2.65,9.39,0,,0,,0,,430,24.09,4.9,4.4
2/22/2025,12:59:05,CNR6684096786,Success,CUST665087,Mini,Kengeri,Banashankari,6.94,13.77,0,,0,,0,,502,16.7,5,5
2/26/2025,19:09:12,CNR3966975093,Success,CUST148763,Prime Plus,Electronic City,Koramangala,2.15,5.06,0,,0,,0,,981,8.86,4.1,4.3
2/17/2025,17:36:00,CNR3044357313,Cancelled by Driver,CUST689141,Mini,KR Puram,Hebbal,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/10/2025,10:46:03,CNR9213553735,Success,CUST435946,Prime Plus,Majestic,Basaveshwaranagar,7.92,3.96,0,,0,,0,,346,25.87,4.5,4.9
2/25/2025,5:19:04,CNR4137279668,Cancelled by Driver,CUST174979,Prime Plus,Frazer Town,Yelahanka,0,0,0,,1,Customer related issue,0,,0,0,0,0
2/21/2025,19:35:08,CNR9479165685,Success,CUST377910,Bike,Sarjapur,Frazer Town,6.84,3.36,0,,0,,0,,329,7.84,4.6,4.8
2/23/2025,8:31:42,CNR9252624193,Success,CUST510158,Auto,Kadubeesanahalli,Vasanth Nagar,7.73,6.78,0,,0,,0,,696,14.66,3.6,4.4
2/24/2025,19:12:53,CNR5603979215,Success,CUST814411,Auto,Hebbal,Frazer Town,5.5,10.1,0,,0,,0,,445,8.65,4.8,3.7
2/2/2025,17:38:10,CNR1121569228,Success,CUST476709,Prime SUV,Kammanahalli,Cunningham Road,5.77,10.21,0,,0,,0,,747,10.1,3.7,3.9
2/7/2025,11:03:59,CNR3282800644,Cancelled by Driver,CUST250738,Prime Plus,Kaggadasapura,KR Puram,0,0,0,,1,Personal & Car related issues,0,,0,0,0,0
2/4/2025,19:15:07,CNR4786982648,Cancelled by Driver,CUST383965,Prime Sedan,Domlur,KR Puram,0,0,0,,1,Personal & Car related issues,0,,0,0,0,0
2/13/2025,1:56:50,CNR3821356387,Success,CUST948561,Bike,Kammanahalli,Vijayanagar,4.65,3.84,0,,0,,0,,382,8.42,3.7,4.2
2/15/2025,9:46:25,CNR5694275650,Success,CUST667238,Bike,Lavelle Road,Bommasandra,5.28,7.06,0,,0,,0,,367,26.76,4.5,3.5
2/1/2025,21:18:31,CNR2912144413,Success,CUST328577,Mini,MG Road,Kaggadasapura,9.12,12.55,0,,0,,0,,353,17.84,4.5,3.8
2/5/2025,21:00:39,CNR7818527285,Success,CUST308070,eBike,Bommasandra,KR Puram,4.72,3.99,0,,0,,0,,720,21.57,4.8,4.1
2/23/2025,21:06:50,CNR7312447183,Success,CUST275742,Prime Plus,Sadashivanagar,Hosakerehalli,7.07,10.29,0,,0,,0,,228,26.63,4.4,4.9
2/26/2025,15:05:27,CNR7697186761,Success,CUST136086,Auto,BTM Layout,Rajajinagar,9,3.79,0,,0,,0,,260,3.98,3.8,4.7
2/21/2025,4:05:37,CNR8729297273,Success,CUST251477,Auto,Indiranagar,Rajajinagar,4.54,11.86,0,,0,,0,,368,3.29,4.5,4
2/15/2025,8:11:13,CNR3957321480,Success,CUST697183,Auto,Shivajinagar,Vasanth Nagar,2.62,4.68,0,,0,,0,,1383,28.99,3.6,4.9
2/4/2025,21:06:03,CNR9719980717,Success,CUST237710,Bike,Whitefield,JP Nagar,5.96,12.75,0,,0,,0,,297,26.8,4.6,4.4
2/2/2025,10:54:20,CNR6906881214,Success,CUST744813,Prime Sedan,Koramangala,KR Puram,4.53,6.74,0,,0,,0,,101,25.75,4.6,4.8
2/6/2025,4:13:27,CNR1134340108,Success,CUST980978,Prime Plus,Kaggadasapura,Marathahalli,9.99,13.18,0,,0,,0,,758,17.76,4.1,3.9
2/23/2025,3:41:28,CNR5522896593,Incomplete,CUST402797,Bike,Sarjapur,Hoodi,0,0,0,,0,,1,Other Issue,0,0,0,0
2/24/2025,22:51:30,CNR8055341529,Success,CUST786584,Prime Sedan,HBR Layout,Kadubeesanahalli,8.7,6.89,0,,0,,0,,284,21.28,4.8,5
2/5/2025,14:15:56,CNR8146057149,Cancelled by Driver,CUST774338,eBike,Hulimavu,Kaggadasapura,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/1/2025,22:40:38,CNR7793904290,Incomplete,CUST929042,Auto,Sarjapur,JP Nagar,0,0,0,,0,,1,Other Issue,0,0,0,0
2/19/2025,15:37:16,CNR3461861639,Success,CUST561892,Prime SUV,Jayanagar,Domlur,3.31,12.89,0,,0,,0,,232,28.63,4,3.6
2/11/2025,6:34:45,CNR3654973031,Cancelled by Driver,CUST396017,Prime Sedan,Nagawara,Kanakapura Road,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/2/2025,19:23:44,CNR5570947789,Success,CUST699478,Bike,Bommasandra,Sahakar Nagar,9.66,8.59,0,,0,,0,,322,22.99,4,4.3
2/28/2025,9:15:05,CNR3869813376,Success,CUST945025,Prime SUV,JP Nagar,Basaveshwaranagar,2.16,12.06,0,,0,,0,,300,15.36,3.7,4.1
2/9/2025,23:49:29,CNR8595056299,Success,CUST426046,eBike,MG Road,Rajajinagar,9.98,10.24,0,,0,,0,,254,18.21,3.8,4.8
2/3/2025,20:32:48,CNR3986800001,Success,CUST493601,Prime SUV,KR Puram,BTM Layout,3.34,9.01,0,,0,,0,,291,25.83,4.6,4.2
2/1/2025,0:30:30,CNR7485369618,Success,CUST571445,eBike,Kaggadasapura,Kadubeesanahalli,6.14,14.5,0,,0,,0,,819,12.74,3.5,4.5
2/2/2025,10:49:29,CNR5073231682,Cancelled by Driver,CUST738812,Prime Sedan,Shivajinagar,Hosakerehalli,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/14/2025,5:53:34,CNR9531393060,Success,CUST776253,Auto,Sadashivanagar,Yelahanka,5.35,10.01,0,,0,,0,,246,14.78,4.4,4.7
2/8/2025,16:46:55,CNR6995303196,Success,CUST563371,eBike,Indiranagar,Hosakerehalli,4.94,13.92,0,,0,,0,,926,12.1,4.6,4
2/12/2025,2:45:50,CNR7900840011,Success,CUST853246,Prime Sedan,Majestic,Hulimavu,3.82,7.54,0,,0,,0,,369,28.6,4.9,4
2/17/2025,19:29:07,CNR5205254078,Incomplete,CUST450577,Mini,RT Nagar,Jakkur,0,0,0,,0,,1,Other Issue,0,0,0,0
2/12/2025,5:59:21,CNR4820546731,Success,CUST855643,Auto,Sadashivanagar,BTM Layout,4.62,5.45,0,,0,,0,,480,8.65,4.1,4.6
2/3/2025,16:09:28,CNR2457419735,Success,CUST156163,eBike,Lavelle Road,Sahakar Nagar,3.57,14.47,0,,0,,0,,336,15.14,4.9,3.6
2/17/2025,6:31:57,CNR7050010558,Cancelled by Driver,CUST514416,Prime Plus,Jayanagar,Majestic,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/14/2025,14:03:01,CNR3196585912,Success,CUST805238,Prime Plus,Indiranagar,Banashankari,4.09,7.94,0,,0,,0,,190,14.45,4.1,3.9
